IN1, IN2, IN3, IN4, IN5
0.0777441375044211,0.795565144133244,-0.665503314805172,0.879321449284856,0.134418828316752
0.080312531632847,0.82459489324542,-0.655446576174168,0.875636018609418,0.13494074772087
0.087354902630141,0.776257622318071,-0.65054983956326,0.884105421796243,0.132451593639691
0.0917736452166786,0.739148839254867,-0.644933510833903,0.892043272481803,0.131287311892043
0.0911660681110301,0.76133194942549,-0.648654328617102,0.892752009150156,0.136787539458519
0.0876586911829658,0.762016613319646,-0.653656371391685,0.896012197824583,0.140481122933817
0.08249428578495,0.733397662543964,-0.653621269337127,0.892468514482815,0.138192707084991
0.0818867086793003,0.703957115095295,-0.650795553945169,0.891511719980538,0.13751019709499
0.0848141256428815,0.637955515698746,-0.654586575837484,0.888535025973453,0.135382371832047
0.0840408456902381,0.6682176598204,-0.654516371728368,0.889314636308642,0.130925983073807
0.0836818228550816,0.789403169085849,-0.659834332993977,0.887471920970923,0.0850372231578772
0.0854217027485311,0.790498631316497,-0.664011477486437,0.88704667896991,0.0342103027260597
0.08249428578495,0.722853838573976,-0.663081273040636,0.892043272481803,0.0317211486448806
0.0757833204816448,0.721484510785665,-0.657903719993261,0.897961223662555,-0.00296641790574336
0.0642669726154816,0.734356191995781,-0.650830655999728,0.903170438174954,-0.0427527355581373
0.052999179019809,0.678350685453896,-0.644003306388104,0.906005384848368,-0.0657974846322787
0.0421180254004594,0.663288079782484,-0.64686412383462,0.91025780485849,-0.119755921488805
0.030684528957793,0.717239594641904,-0.651795962500086,0.911675278195197,-0.209445763704192
0.0252715692892841,0.747501738763558,-0.647618818007627,0.917451482042278,-0.297730438293106
0.0270666834650653,0.778037748442875,-0.648075144716887,0.921243223217971,-0.324549066135487
0.0255201235597772,0.811449346477642,-0.648373512180634,0.92018011821544,-0.337597051238441
0.021708958078888,0.752842117137968,-0.66069433333066,0.913057314698486,-0.370357530758476
0.021708958078888,0.695056484471279,-0.663046170986078,0.905119464012926,-0.391876669266733
0.0244706721954742,0.698890602278548,-0.656359229592688,0.905686453347609,-0.419819431210291
0.0260448492419287,0.675201231540782,-0.660975149767128,0.90735198451824,-0.452098138972678
0.0210737638320731,0.73421925921695,-0.65400739193727,0.911923336029121,-0.482168726179179
0.0176768554686721,0.804054976420767,-0.669645357243072,0.921349533718223,-0.52046958091216
0.0141694785406077,0.721347578006834,-0.698218429653673,0.916352940206331,-0.52942250607511
0.0120705758120029,0.650964129687693,-0.691654345451238,0.906324316349128,-0.531028411933936
0.0159093584340573,0.676570559329092,-0.690109855050665,0.897819476328885,-0.559934717392789
0.024774460748299,0.718608922430214,-0.681720464011188,0.893744240485852,-0.592173277508705
0.0352413572501604,0.757771697175884,-0.668399234306246,0.89803209732939,-0.592213425155175
0.0475586022101348,0.831304599408139,-0.658763720329944,0.877159802446378,-0.592293720448116
0.0623337727338705,0.794606614681427,-0.650830655999728,0.857846728233743,-0.591330176932821
0.0716959835890972,0.73148060364033,-0.64800494060777,0.860079248739057,-0.580008540628104
0.0745957834115132,0.740655099822007,-0.650935962163403,0.860079248739057,-0.514889058052743
0.070618915083629,0.735040855889936,-0.660975149767128,0.858271970234756,-0.45354345424562
0.0740986748705281,0.662603415888328,-0.661501680585505,0.859051580569944,-0.453101830134443
0.0797878059506955,0.647266944659255,-0.654481269673809,0.862807884912219,-0.452660206023267
0.0815276858441451,0.701492325076337,-0.656078413156221,0.868017099424617,-0.45221858191209
0.0835437371492517,0.714774804622945,-0.666749437741998,0.872623887768916,-0.454065373649739
0.0869130283714876,0.725318628592933,-0.671260051752762,0.877833102281314,-0.456434084791505
0.0841789313960666,0.76393367222328,-0.66829392814257,0.881872901290929,-0.456313641852094
0.0758661719051429,0.738874973697204,-0.665608620968847,0.881908338124347,-0.454627440700327
0.0728559035180636,0.714911737401776,-0.658939230602736,0.885770952966874,-0.454105521296209
0.0697904008486539,0.760784218310167,-0.662186170649396,0.885948137133963,-0.456233346559153
0.0716407493067656,0.758045562733547,-0.670505357579755,0.887259299970416,-0.458039990650331
0.075065274811333,0.736684049235908,-0.66094004771257,0.8948427823218,-0.45924442004445
0.0735739491883766,0.765713798348084,-0.656183719319896,0.901008791336476,-0.458923238872685
0.0784621831747341,0.74243522594681,-0.662396782976746,0.901646654337994,-0.45860205770092
0.0777441375044211,0.699438333393872,-0.664011477486437,0.901752964838247,-0.456875708902682
0.0773298803869329,0.723401569689299,-0.660080047375887,0.897075302827113,-0.463981842327984
0.0767775375636162,0.756813167724067,-0.646478001234476,0.897323360661038,-0.512921823375682
